,listing_id,travel_score
876,Rome14113698,3.0
877,Rome14117518,1.0
878,Rome14117859,1.0
879,Rome14118382,1.0
880,Rome14133582,4.0
881,Rome14134631,2.0
882,Rome14137766,3.0
883,Rome1414462,1.0
884,Rome14144946,2.0
885,Rome14156721,2.0
886,Rome14159837,5.0
887,Rome14188741,2.0
888,Rome14199193,3.0
889,Rome14210192,2.0
890,Rome1422338,2.0
891,Rome14225777,5.0
892,Rome14226141,5.0
893,Rome14230947,3.0
894,Rome14231208,5.0
895,Rome14242209,5.0
896,Rome14243951,5.0
897,Rome14246650,1.0
898,Rome14262116,5.0
899,Rome14276832,3.0
900,Rome14278341,2.0
901,Rome14281117,2.0
902,Rome14282459,5.0
903,Rome14290915,5.0
904,Rome14290993,1.0
905,Rome1429891,4.0
906,Rome14310562,4.0
907,Rome14312602,2.0
908,Rome14316972,2.0
909,Rome14319489,5.0
910,Rome14320755,5.0
911,Rome14326043,4.0
912,Rome14326490,3.0
913,Rome14328797,5.0
914,Rome14330117,2.0
915,Rome14366555,3.0
916,Rome1436750,1.0
917,Rome14367811,4.0
918,Rome14367880,5.0
919,Rome14368819,5.0
920,Rome1437103,3.0
921,Rome14383007,4.0
922,Rome14384496,3.0
923,Rome14392849,5.0
924,Rome14412564,5.0
925,Rome14417573,5.0
926,Rome1444489,5.0
927,Rome14468977,3.0
928,Rome14477809,4.0
929,Rome14480478,2.0
930,Rome14481752,1.0
931,Rome1448571,3.0
932,Rome14492079,1.0
933,Rome14499614,3.0
934,Rome14506448,1.0
935,Rome14519226,5.0
936,Rome14526978,5.0
937,Rome14551425,2.0
938,Rome1457339,3.0
939,Rome14582141,2.0
940,Rome14582371,2.0
941,Rome14582644,5.0
942,Rome14585861,5.0
943,Rome14586109,5.0
944,Rome14588845,5.0
945,Rome1460331,2.0
946,Rome14605694,1.0
947,Rome14606166,3.0
948,Rome14606242,4.0
949,Rome14607059,4.0
950,Rome14610916,4.0
951,Rome14617119,1.0
952,Rome14621577,5.0
953,Rome14647048,4.0
954,Rome14652759,1.0
955,Rome14660164,3.0
956,Rome14674816,2.0
957,Rome14677405,2.0
958,Rome14678020,2.0
959,Rome14678691,1.0
960,Rome14679699,1.0
961,Rome14680841,5.0
962,Rome14687885,1.0
963,Rome14699241,2.0
964,Rome14718952,1.0
965,Rome147381,5.0
966,Rome14753251,5.0
967,Rome14759035,5.0
968,Rome14764968,4.0
969,Rome14765806,5.0
970,Rome14768240,5.0
971,Rome14781090,2.0
972,Rome14781817,2.0
973,Rome14814076,2.0
974,Rome14817520,2.0
975,Rome14818275,3.0
976,Rome14820438,5.0
977,Rome1482573,2.0
978,Rome14827988,1.0
979,Rome14828020,1.0
980,Rome14831109,2.0
981,Rome14840649,1.0
982,Rome14841005,1.0
983,Rome14862263,2.0
984,Rome14862344,4.0
985,Rome1486396,1.0
986,Rome14865741,1.0
987,Rome1487813,5.0
988,Rome14879843,5.0
989,Rome14883038,1.0
990,Rome14892459,3.0
991,Rome14894036,3.0
992,Rome14909273,2.0
993,Rome14922029,3.0
994,Rome1493344,5.0
995,Rome14938788,1.0
996,Rome14961669,2.0
997,Rome14974478,2.0
998,Rome14984731,2.0
999,Rome14988394,2.0
1000,Rome14999241,2.0
1001,Rome14999911,1.0
1002,Rome15000537,2.0
1003,Rome15006422,2.0
1004,Rome15013780,5.0
1005,Rome15018556,5.0
1006,Rome15025409,1.0
1007,Rome15030433,5.0
1008,Rome15050604,4.0
